2024-08-03 13:41:49.232 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.12.1-linux-x64/python-env-tools/bin/pet server
2024-08-03 13:41:49.703 [info] Discovered env: /usr/bin/python3
2024-08-03 13:41:49.705 [info] Discovered env: /bin/python3
2024-08-03 13:41:51.990 [info] Locator Conda took 2.751981102s
2024-08-03 13:41:51.990 [info] Locator Homebrew took 269.609µs
2024-08-03 13:41:51.990 [info] Locator LinuxGlobal took 76.324681ms
2024-08-03 13:41:51.990 [info] Locator PipEnv took 16.321µs
2024-08-03 13:41:51.990 [info] Locator Poetry took 13.241283ms
2024-08-03 13:41:51.990 [info] Locator PyEnv took 13.810668ms
2024-08-03 13:41:51.990 [info] Locator Venv took 17.113µs
2024-08-03 13:41:51.990 [info] Locator VirtualEnv took 90.513µs
2024-08-03 13:41:51.990 [info] Locator VirtualEnvWrapper took 15.79µs
2024-08-03 13:41:51.990 [info] Locator GlobalVirtualEnvs took 991.209µs
2024-08-03 13:41:51.990 [info] Locator Locators took 2.752479843s
2024-08-03 13:41:51.990 [info] Locator Path took 178.393682ms
2024-08-03 13:41:51.990 [info] Locator Workspaces took 1.402µs
2024-08-03 13:41:51.990 [info] Refresh completed in 2752ms
